           x [cm]           y [cm]           z [cm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
           7.7385          -6.2645          -4.7905       -1.1333276        1.1004018       0.84649658       -2.1354775      -0.44588807         1.888273
           8.4755          -6.2645          -4.7905      -0.94437724        1.0129604       0.50949371       -1.8883804      -0.38874415        1.9055433
           9.2125          -6.2645          -4.7905      -0.76438099       0.92403883       0.24625228       -1.6740744      -0.30657503        1.8979018
           9.9495          -6.2645          -4.7905      -0.60278857       0.83870077       0.12057234       -1.5631542      -0.25316504        1.8859119
          -9.9495          -5.5275          -4.7905       0.67857116      -0.89139467       0.16317748       -1.6569319      -0.37353444        1.8282821
          -9.2125          -5.5275          -4.7905       0.86698848      -0.99253148       0.29857203        -1.774241      -0.41975325         1.830525
          -8.4755          -5.5275          -4.7905         1.082473       -1.1020621       0.58302522       -2.0016339      -0.48269194        1.8173947
          -7.7385          -5.5275          -4.7905        1.3149581       -1.2143816        0.9491713        -2.265296      -0.50726712        1.7721149
          -7.0015          -5.5275          -4.7905        1.5478532       -1.3201978        1.3840705       -2.5483398      -0.47315085        1.6875583
          -6.2645          -5.5275          -4.7905        1.7548636         -1.40499        1.8882166       -2.8488455      -0.37093258        1.5600542
          -5.5275          -5.5275          -4.7905        1.8803813       -1.4381444        2.4541638        -3.158972      -0.19391885          1.38796
          -4.7905          -5.5275          -4.7905        1.8731215       -1.3926429        3.0399318       -3.4566414      0.031102702        1.1890619
          -4.0535          -5.5275          -4.7905        1.7286052       -1.2671508        3.5870833        -3.716068       0.25502035       0.99322021
          -3.3165          -5.5275          -4.7905        1.4804384       -1.0801747         4.052103       -3.9200933       0.44325301        0.8222701
          -2.5795          -5.5275          -4.7905        1.1710895      -0.85509914        4.4135299       -4.0634642       0.58208048       0.68670166
          -1.8425          -5.5275          -4.7905        0.8368876      -0.61223948        4.6627431       -4.1493039        0.6711601       0.59059811
          -1.1055          -5.5275          -4.7905       0.49845871      -0.36419713         4.819068       -4.1944995       0.72387493       0.52806801
          -0.3685          -5.5275          -4.7905       0.16280308      -0.11584351        4.8878741       -4.2101436        0.7467007       0.49934569
           0.3685          -5.5275          -4.7905      -0.17148998       0.13221744        4.8877511       -4.2083373       0.74785465       0.49923867
           1.1055          -5.5275          -4.7905      -0.50751317       0.38051054        4.8134885       -4.1878166       0.72542024       0.52997142
           1.8425          -5.5275          -4.7905      -0.84634411       0.62841022         4.658392       -4.1405544       0.67488116       0.59229124
           2.5795          -5.5275          -4.7905       -1.1808002       0.87073946         4.406065       -4.0514388       0.58552629       0.69018257
           3.3165          -5.5275          -4.7905       -1.4914228        1.0959063        4.0466275        -3.908061       0.44788289       0.82611239
           4.0535          -5.5275          -4.7905       -1.7391505        1.2819271        3.5810809       -3.7031889       0.25893924       0.99851263
           4.7905          -5.5275          -4.7905       -1.8842478        1.4072462        3.0351722       -3.4444342      0.034591824         1.195358
           5.5275          -5.5275          -4.7905       -1.8910234        1.4522319         2.450192       -3.1476538      -0.19128636        1.3954612
           6.2645          -5.5275          -4.7905       -1.7643957        1.4184541        1.8850795       -2.8385894      -0.36901933         1.568651
           7.0015          -5.5275          -4.7905       -1.5559334        1.3329816        1.3817325       -2.5391695      -0.47165477        1.6971222
           7.7385          -5.5275          -4.7905       -1.3214699        1.2264295       0.94757438       -2.2571762      -0.50585401        1.7824911
           8.4755          -5.5275          -4.7905       -1.0874184        1.1133217       0.58210468       -1.9945139      -0.48104787        1.8284074
           9.2125          -5.5275          -4.7905      -0.87045687        1.0029563       0.29822087       -1.7680012      -0.41766563        1.8419708
           9.9495          -5.5275          -4.7905      -0.68070507       0.90095443       0.16311274       -1.6511528      -0.37113062        1.8399049
          -9.9495          -4.7905          -4.7905        0.7411474      -0.94483829       0.18732181         -1.73119      -0.47653803        1.7513511
          -9.2125          -4.7905          -4.7905       0.95455194       -1.0619543       0.32738701        -1.852383      -0.51456398        1.7431084
          -8.4755          -4.7905          -4.7905        1.2038567       -1.1925354       0.62133729       -2.0872657      -0.55623621        1.7077413
          -7.7385          -4.7905          -4.7905        1.4788524       -1.3306524       0.99928391       -2.3595741      -0.54551691        1.6325734
          -7.0015          -4.7905          -4.7905        1.7608044       -1.4655792          1.44789       -2.6519098      -0.45894206        1.5099714
          -6.2645          -4.7905          -4.7905        2.0181971       -1.5795673        1.9678309       -2.9623666      -0.28356785        1.3346244
          -5.5275          -4.7905          -4.7905        2.1808472          -1.6334         2.551743       -3.2829893    -0.0098279417        1.1039517
          -4.7905          -4.7905          -4.7905        2.1786354       -1.5896602        3.1564798       -3.5910792       0.32506001       0.84177262
          -4.0535          -4.7905          -4.7905        2.0042996       -1.4454592        3.7211232       -3.8596413       0.65137446       0.58906174
          -3.3165          -4.7905          -4.7905        1.7050622       -1.2269138        4.2007031       -4.0708652       0.92035115       0.37498546
          -2.5795          -4.7905          -4.7905        1.3379974      -0.96560246        4.5731311       -4.2193313        1.1147888       0.21157795
          -1.8425          -4.7905          -4.7905       0.94934791      -0.68762249        4.8297105       -4.3082519        1.2366918       0.10077471
          -1.1055          -4.7905          -4.7905       0.56213009      -0.40731567        4.9905171       -4.3550777        1.3070536      0.031618103
          -0.3685          -4.7905          -4.7905       0.18269402      -0.12929761        5.0612292        -4.371294        1.3366979     0.0010250765
           0.3685          -4.7905          -4.7905      -0.19386639       0.14765136        5.0611029       -4.3694263        1.3379093      0.001173805
           1.1055          -4.7905          -4.7905      -0.57390648       0.42566335        4.9847264       -4.3481741        1.3082857       0.03444868
           1.8425          -4.7905          -4.7905      -0.96158624       0.70580727        4.8251534       -4.2992024        1.2404602        0.1036277
           2.5795          -4.7905          -4.7905       -1.3508165       0.98334098        4.5653353       -4.2069144        1.1178386       0.21682686
           3.3165          -4.7905          -4.7905       -1.7194573        1.2447437        4.1949477       -4.0584421       0.92498434       0.38058618
           4.0535          -4.7905          -4.7905       -2.0183969        1.4622756        3.7148108       -3.8463252       0.65488076       0.59636843
           4.7905          -4.7905          -4.7905       -2.1935248         1.606387        3.1514113       -3.5784299        0.3281554       0.85006952
           5.5275          -4.7905          -4.7905       -2.1951134        1.6494664        2.5474992       -3.2712727    -0.0079607368        1.1135584
           6.2645          -4.7905          -4.7905       -2.0310671        1.5949103        1.9644375       -2.9517202      -0.28266585         1.345371
           7.0015          -4.7905          -4.7905       -1.7717352        1.4801205         1.445322       -2.6423674      -0.45858061        1.5216516
           7.7385          -4.7905          -4.7905       -1.4877416        1.3443171       0.99748194        -2.351104      -0.54526663        1.6450214
           8.4755          -4.7905          -4.7905       -1.2107379        1.2052535        0.6202392       -2.0798194      -0.55570185        1.7207805
           9.2125          -4.7905          -4.7905      -0.95953208        1.0736738        0.3268874       -1.8458357      -0.51347643        1.7565281
           9.9495          -4.7905          -4.7905      -0.74449414       0.95554769       0.18712355       -1.7251126      -0.47505376        1.7649003
          -9.9495          -4.0535          -4.7905       0.78267533      -0.98674053        0.1937703       -1.7913923      -0.56706667        1.6486573
          -9.2125          -4.0535          -4.7905        1.0145133       -1.1173382       0.33386418       -1.9144304      -0.59710985        1.6299708
          -8.4755          -4.0535          -4.7905        1.2893673       -1.2658949       0.62631482         -2.15207      -0.61898196        1.5729526
          -7.7385          -4.0535          -4.7905        1.5969758       -1.4261948       0.99938011       -2.4259896      -0.57682329        1.4695566
          -7.0015          -4.0535          -4.7905        1.9170172       -1.5862387        1.4383613       -2.7179484      -0.44492477        1.3119828
          -6.2645          -4.0535          -4.7905        2.2138746       -1.7255008        1.9427527       -3.0255866      -0.20760393        1.0935282
          -5.5275          -4.0535          -4.7905        2.4057467        -1.797371        2.5041285       -3.3406854       0.14680468       0.81083363
          -4.7905          -4.0535          -4.7905        2.4079552       -1.7554171        3.0823083       -3.6420946       0.57270616       0.49295336
          -4.0535          -4.0535          -4.7905        2.2108705       -1.5955043        3.6229732       -3.9060171       0.98324293       0.19060549
          -3.3165          -4.0535          -4.7905        1.8724898       -1.3501594        4.0854459       -4.1163287        1.3188931     -0.061069302
          -2.5795          -4.0535          -4.7905        1.4614043       -1.0581131        4.4485292       -4.2676039        1.5593172       -0.2488119
          -1.8425          -4.0535          -4.7905        1.0317383      -0.75051224        4.7022099       -4.3617339        1.7084619      -0.37244353
